Device Type,Device Family,Device Model,Recommended Software Version,Min. Supported Software Version ¹,Min. Cisco DNA Center Release,Cisco DNA Essentials license ²,Cisco DNA Advantage license,Inventory,Topology,SWIM,PnP,Cisco DNA Assurance,ENFV & Routing,Application Policy,Patching (SMU),IWAN,Cisco SD-Access³,,
Switch,Cisco Catalyst 2960 Series,C2960-C,IOS 15.2(4)E3,IOS 15.2(2)E3,1.1,Y,N,Y,Y,Y,Y⁴,Y,NA,Y,NA,N,NA,,
Switch,Cisco Catalyst 2960 Series,C2960-CG,IOS 15.2(4)E3,IOS 15.2(2)E3,1.1,Y,N,Y,Y,Y,Y,Y,NA,Y,NA,NA,NA,,
Switch,Cisco Catalyst 2960 Series,C2960-CPD,IOS 15.2(4)E3,IOS 15.2(2)E3,1.1,Y,N,Y,Y,Y,Y⁴,Y,NA,Y,NA,N,NA,,
Switch,Cisco Catalyst 2960 Series,C2960-CX,IOS 15.2(4)E3,IOS 15.2(3)E2,1.0,Y,N,Y,Y,Y,Y,Y,N,Y,N,N,NA,,
Switch,Cisco Catalyst 2960 Series,C2960CX-8PC-L,IOS 15.2(4)E3,IOS 15.2(3)E2,1.0,Y,N,Y,Y,Y,Y,Y,NA,Y,NA,NA,NA,,
Switch,Cisco Catalyst 2960 Series,C2960-P,IOS 15.2(4)E3,IOS 15.2(2)E3,1.1.1,Y,N,Y,Y,Y,Y⁴,Y,NA,N,NA,N,NA,,
Switch,Cisco Catalyst 2960-L Series,C2960-L,IOS 15.2(5)E,IOS 15.2(5)E,1.0,Y,N,Y,Y,Y,Y⁴,Y,NA,N,NA,N,NA,,
Switch,Cisco Catalyst 2960-X Series,C2960-X,IOS 15.2(4)E3,IOS 15.2(2)E3,1.0,Y,Y,Y,Y,Y,Y,Y,NA,Y,NA,NA,NA,,
Switch,Cisco Catalyst 2960-XR Series,C2960-XR,IOS 15.2(4)E3,IOS 15.2(2)E3,1.0,Y,Y,Y,Y,Y,Y⁴,Y,NA,Y,NA,NA,NA,,
Switch,Cisco Catalyst 2960-XR Series,C2960-XR Stack,IOS 15.2(4)E3,IOS 15.2(2)E3,1.0,Y,Y,Y,Y,Y,N,Y,NA,Y,NA,NA,NA,,
Switch,Cisco Catalyst 3560-CX Series,C3560-CX,IOS 15.2(6)E2,IOS 15.2(3)E2,1.0,Y,N,Y,Y,Y,Y,Y,NA,Y,NA,NA,Y5,,
Switch,Cisco Catalyst 3650 Series,C3650 (Copper),IOS-XE 16.6.3,IOS-XE 3.6.5E,1.0,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,,
Switch,Cisco Catalyst 3650 Series,C3650-Stack,IOS-XE 16.6.3,IOS-XE 16.6.3,1.0,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,,
Switch,Cisco Catalyst 3850 Series,C3850 (Copper/Fiber),IOS-XE 16.6.3,IOS-XE 3.6.5E,1.0,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,,
Switch,Cisco Catalyst 3850 Series,C3850-Stack (Copper/Fiber),IOS-XE 16.6.3,IOS-XE 16.6.3,1.0,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,,
Switch,Cisco Catalyst 4500 Series Switches,C4500-VSS,IOS-XE 3.10E,IOS-XE 3.6.5E,1.0,Y,Y,Y,Y,Y,Y,Y,NA,Y,NA,NA,N,,
Switch,Cisco Catalyst 4500 Series Switches,C4500X,IOS-XE 3.10E,IOS-XE 3.6.5E,1.0,Y,Y,Y,Y,Y,Y,Y,NA,Y,NA,NA,N,,
